,line,day_of_week,hour,day,month,count
10689,N,2,3,18,11,1
10690,F,0,9,16,11,10
10691,F,5,10,14,11,6
10692,N,5,22,14,11,11
10693,D,1,23,3,11,1
10694,6,2,20,11,11,7
10695,R,2,4,25,11,6
10696,C,1,20,3,11,17
10697,D,1,0,24,11,1
10698,Q,1,15,24,11,10
10699,2,2,13,18,11,2
10700,D,6,20,15,11,1
10701,N,3,6,12,11,6
10702,4,5,3,7,11,1
10703,J,5,13,7,11,1
10704,F,3,21,19,11,8
10705,1,3,1,26,11,8
10706,Q,5,13,28,11,18
10707,6,3,20,12,11,11
10708,R,2,9,4,11,5
10709,1,0,11,23,11,12
10710,R,4,2,13,11,6
10711,E,5,2,7,11,6
10712,1,2,10,4,11,13
10713,E,3,16,5,11,6
10714,7,3,11,26,11,1
10715,A,6,0,8,11,9
10716,R,0,7,2,11,8
10717,4,4,15,6,11,4
10718,L,4,3,6,11,1
10719,2,0,21,16,11,1
10720,N,1,19,17,11,16
10721,A,2,18,4,11,5
10722,Q,2,15,25,11,11
10723,L,4,13,6,11,1
10724,1,4,16,6,11,11
10725,N,5,6,14,11,1
10726,E,0,19,23,11,15
10727,6,2,4,11,11,1
10728,A,2,18,18,11,5
10729,D,1,16,24,11,10
10730,D,3,11,5,11,5
10731,M,0,16,2,11,9
10732,N,0,21,2,11,10
10733,7,6,2,22,11,2
10734,N,3,1,5,11,7
10735,7,1,16,17,11,2
10736,1,4,20,20,11,8
10737,5,0,18,2,11,1
10738,F,0,3,30,11,1
10739,C,6,6,8,11,13
10740,F,3,8,26,11,1
10741,N,5,11,21,11,14
10742,4,2,11,4,11,1
10743,1,4,9,27,11,4
10744,A,4,3,13,11,3
10745,C,0,8,16,11,9
10746,A,5,22,21,11,9
10747,R,6,7,8,11,5
10748,C,4,8,20,11,6
10749,1,1,6,17,11,6
10750,L,4,19,6,11,3
10751,C,2,8,18,11,23
10752,L,4,11,6,11,2
10753,A,0,3,9,11,2
10754,F,0,15,30,11,11
10755,A,4,17,13,11,8
10756,M,1,4,3,11,1
10757,A,6,23,15,11,10
10758,L,2,5,4,11,3
10759,1,1,5,24,11,7
10760,5,3,21,26,11,1
10761,1,1,22,3,11,15
10762,5,0,17,23,11,2
10763,M,3,7,12,11,4
10764,7,4,18,13,11,1
10765,7,2,2,11,11,1
10766,6,3,1,12,11,5
10767,7,2,22,25,11,1
10768,5,6,17,8,11,2
10769,4,2,18,4,11,2
10770,2,1,2,3,11,2
10771,A,3,9,5,11,4
10772,Q,6,1,22,11,11
10773,2,1,22,17,11,1
10774,Q,2,3,4,11,1
10775,2,5,1,14,11,5
10776,E,6,21,8,11,9
10777,6,4,17,27,11,17
10778,C,3,18,12,11,12
10779,5,4,8,13,11,2
10780,N,0,20,16,11,13
10781,3,1,7,17,11,3
10782,F,6,7,15,11,1
10783,E,6,1,8,11,16
10784,M,6,18,15,11,14
10785,7,5,6,14,11,3
10786,L,1,15,10,11,2
10787,1,2,4,11,11,1
10788,A,0,21,16,11,5
10789,N,6,12,8,11,16
