,line,day_of_week,hour,day,month,count
5126,R,4,8,17,6,9
5127,J,4,2,24,6,1
5128,6,6,18,19,6,5
5129,Q,4,12,24,6,6
5130,G,5,23,4,6,1
5131,R,0,22,13,6,5
5132,1,3,7,9,6,6
5133,A,5,17,4,6,8
5134,A,3,9,9,6,11
5135,6,2,22,8,6,7
5136,3,0,10,13,6,1
5137,Q,1,9,21,6,4
5138,D,2,13,15,6,10
5139,A,2,0,22,6,4
5140,3,5,19,11,6,5
5141,5,3,6,30,6,3
5142,4,5,1,11,6,1
5143,1,6,17,12,6,11
5144,6,1,13,21,6,14
5145,D,5,14,25,6,7
5146,F,0,4,13,6,1
5147,E,6,22,19,6,14
5148,F,0,5,20,6,5
5149,J,0,15,27,6,2
5150,F,4,23,17,6,22
5151,A,0,7,20,6,4
5152,N,0,23,13,6,6
5153,Q,5,20,11,6,9
5154,5,5,18,4,6,1
5155,7,3,7,2,6,3
5156,7,0,21,6,6,1
5157,L,5,13,25,6,6
5158,L,3,23,23,6,2
5159,6,4,3,3,6,5
5160,2,1,20,14,6,3
5161,F,0,9,27,6,8
5162,Q,0,5,20,6,1
5163,L,2,13,22,6,2
5164,5,4,11,24,6,3
5165,6,5,12,18,6,9
5166,Q,3,8,9,6,4
5167,7,3,1,30,6,1
5168,4,0,10,20,6,6
5169,A,2,22,29,6,9
5170,7,0,23,6,6,1
5171,1,1,21,28,6,14
5172,A,4,3,17,6,2
5173,1,1,11,28,6,6
5174,F,2,1,29,6,2
5175,N,3,23,30,6,10
5176,A,2,6,22,6,10
5177,5,6,21,26,6,4
5178,2,2,6,29,6,3
5179,D,0,8,20,6,4
5180,G,2,23,15,6,2
5181,M,1,1,28,6,4
5182,F,2,12,15,6,14
5183,2,4,2,24,6,3
5184,2,6,0,26,6,5
5185,D,6,8,5,6,3
5186,4,4,22,24,6,1
5187,D,5,19,11,6,3
5188,L,1,17,14,6,2
5189,L,4,13,3,6,2
5190,R,2,21,29,6,10
5191,1,1,17,28,6,17
5192,M,6,13,19,6,9
5193,D,5,5,4,6,1
5194,C,0,6,6,6,10
5195,1,0,1,13,6,5
5196,C,4,17,17,6,7
5197,E,5,9,18,6,11
5198,Q,6,16,5,6,13
5199,6,2,7,8,6,10
5200,4,3,12,9,6,2
5201,C,2,16,8,6,10
5202,4,6,20,26,6,2
5203,F,5,15,18,6,11
5204,6,1,16,21,6,7
5205,N,1,11,28,6,10
5206,Z,1,17,7,6,2
5207,L,2,15,29,6,4
5208,7,2,16,8,6,2
5209,3,3,4,2,6,1
5210,7,6,4,19,6,3
5211,2,2,16,1,6,1
5212,D,2,18,29,6,9
5213,Z,3,17,30,6,1
5214,F,5,21,25,6,13
5215,F,1,17,14,6,10
5216,R,1,5,14,6,4
5217,L,3,21,23,6,1
5218,6,1,11,7,6,22
5219,N,6,21,19,6,10
5220,F,0,18,27,6,13
5221,2,2,6,1,6,2
5222,A,5,6,25,6,6
5223,2,1,14,28,6,2
5224,M,1,9,7,6,6
5225,2,5,10,4,6,1
5226,F,2,2,8,6,1
5227,N,2,2,29,6,4
5228,Q,5,2,4,6,5
5229,J,3,12,9,6,1
5230,N,3,18,30,6,12
5231,Q,0,20,20,6,10
5232,6,0,3,6,6,2
5233,1,2,7,8,6,3
5234,J,6,3,5,6,2
5235,A,6,19,19,6,6
5236,M,1,21,7,6,10
5237,3,2,13,1,6,2
5238,6,1,15,7,6,7
5239,E,3,20,2,6,14
5240,3,4,2,10,6,1
5241,3,1,21,21,6,5
5242,A,2,1,15,6,3
5243,F,5,1,4,6,15
5244,F,0,4,6,6,2
5245,M,4,17,17,6,7
5246,L,3,13,16,6,10
5247,GS,2,9,29,6,1
5248,L,6,3,5,6,5
5249,6,2,5,15,6,1
5250,3,3,6,16,6,2
5251,F,2,14,8,6,8
