,line,day_of_week,hour,day,month,count
8064,N,2,2,2,9,2
8065,D,1,18,1,9,11
8066,A,4,10,25,9,13
8067,C,6,10,27,9,17
8068,C,6,9,6,9,9
8069,5,2,9,2,9,3
8070,M,4,14,25,9,7
8071,M,1,11,1,9,14
8072,F,5,0,19,9,8
8073,5,0,6,7,9,2
8074,4,1,19,8,9,2
8075,C,2,9,2,9,19
8076,4,0,9,21,9,1
8077,A,5,0,12,9,13
8078,3,2,12,9,9,4
8079,A,4,21,4,9,14
8080,Q,3,23,3,9,9
8081,M,5,1,19,9,8
8082,M,5,20,12,9,15
8083,5,1,1,15,9,1
8084,D,3,6,3,9,4
8085,1,1,21,1,9,12
8086,E,0,6,7,9,1
8087,3,4,7,18,9,4
8088,2,4,6,4,9,2
8089,7,5,20,26,9,2
8090,M,6,8,27,9,4
8091,4,3,0,3,9,1
8092,7,3,22,24,9,1
8093,A,0,18,21,9,7
8094,5,0,9,28,9,2
8095,N,6,20,20,9,11
8096,L,3,1,10,9,7
8097,N,2,18,2,9,10
8098,L,6,22,6,9,3
8099,C,6,22,27,9,12
8100,E,1,17,15,9,12
8101,3,2,13,30,9,1
8102,D,4,15,11,9,5
8103,C,6,20,13,9,19
8104,F,0,19,7,9,16
8105,L,1,14,1,9,1
8106,2,1,8,1,9,2
8107,A,3,0,10,9,9
8108,N,2,10,2,9,12
8109,N,1,23,8,9,4
8110,6,1,0,15,9,5
8111,Q,5,11,5,9,11
8112,2,5,22,5,9,5
8113,Z,4,1,11,9,1
8114,R,4,19,25,9,16
8115,E,4,18,25,9,7
8116,M,2,5,30,9,8
8117,F,5,10,5,9,11
8118,R,4,21,11,9,18
8119,6,6,22,20,9,9
8120,L,2,15,23,9,2
8121,E,3,1,17,9,10
8122,Q,6,0,27,9,7
8123,L,5,22,19,9,3
8124,4,4,12,18,9,4
8125,M,6,2,27,9,7
8126,F,1,8,1,9,8
8127,R,3,22,3,9,11
8128,6,2,4,16,9,1
8129,7,5,16,12,9,2
8130,2,0,21,7,9,5
8131,E,1,10,8,9,15
8132,J,2,8,2,9,1
8133,2,5,8,5,9,1
8134,4,4,14,4,9,1
8135,L,2,0,30,9,1
8136,L,3,17,10,9,3
8137,A,3,23,17,9,7
8138,D,2,1,9,9,4
8139,E,1,22,22,9,8
8140,M,4,7,18,9,6
8141,R,5,18,5,9,22
8142,Q,3,8,24,9,4
8143,7,6,8,27,9,1
8144,D,5,11,12,9,14
8145,C,5,14,12,9,24
8146,2,5,6,5,9,3
8147,F,1,9,8,9,7
8148,5,5,5,19,9,2
8149,1,2,7,30,9,10
8150,1,2,5,2,9,4
8151,Q,1,2,22,9,2
8152,E,3,17,17,9,6
8153,6,0,1,7,9,6
8154,6,4,5,25,9,4
8155,Q,0,2,7,9,6
8156,R,3,6,3,9,3
8157,5,2,22,23,9,3
8158,F,2,12,30,9,7
8159,2,3,11,24,9,3
8160,7,3,0,10,9,1
8161,E,3,9,17,9,12
8162,4,2,20,2,9,2
8163,2,5,19,12,9,3
8164,C,1,9,1,9,14
8165,F,6,9,13,9,2
8166,D,2,17,9,9,5
8167,J,4,20,18,9,1
8168,A,1,16,8,9,7
8169,2,3,10,3,9,4
8170,R,5,2,5,9,9
8171,F,0,14,14,9,15
8172,C,1,17,1,9,15
8173,J,5,10,5,9,1
8174,E,0,11,14,9,15
8175,3,0,11,14,9,2
8176,R,6,23,27,9,6
8177,6,5,16,5,9,15
8178,4,3,7,10,9,3
8179,2,4,22,4,9,5
8180,GS,6,23,6,9,1
8181,2,6,18,6,9,3
8182,3,5,0,12,9,3
8183,Q,0,13,14,9,6
8184,R,6,8,20,9,3
8185,1,4,16,11,9,6
8186,C,5,17,5,9,15
8187,M,6,20,13,9,7
8188,5,5,14,12,9,4
8189,5,5,13,19,9,4
8190,D,0,15,21,9,6
8191,N,0,3,21,9,3
8192,A,2,3,2,9,4
8193,N,4,4,18,9,3
8194,F,4,15,11,9,6
8195,A,5,16,12,9,9
8196,Z,4,18,18,9,1
8197,D,1,11,22,9,9
8198,N,6,2,6,9,8
8199,4,2,4,2,9,1
8200,C,6,17,6,9,18
8201,6,2,17,23,9,13
8202,F,5,8,5,9,11
8203,M,1,14,8,9,15
