,line,day_of_week,hour,day,month,count
2189,F,5,3,26,12,1
2190,R,6,4,20,12,6
2191,4,4,7,11,12,2
2192,4,4,8,18,12,3
2193,A,4,2,25,12,5
2194,F,2,13,23,12,19
2195,GS,6,19,20,12,1
2196,C,2,17,16,12,13
2197,Q,4,19,18,12,8
2198,D,2,8,30,12,3
2199,GS,6,16,27,12,1
2200,A,2,11,16,12,12
2201,5,0,10,21,12,2
2202,F,4,0,18,12,14
2203,J,4,2,18,12,2
2204,N,2,6,30,12,3
2205,3,6,21,6,12,4
2206,M,1,10,22,12,17
2207,Q,3,21,17,12,4
2208,1,3,13,31,12,14
2209,A,1,20,8,12,9
2210,4,4,12,18,12,5
2211,3,3,11,3,12,5
2212,6,3,16,17,12,7
2213,C,3,14,24,12,16
2214,A,3,6,10,12,5
2215,E,0,1,14,12,3
2216,M,1,23,1,12,5
2217,J,1,0,1,12,1
2218,6,5,16,5,12,19
2219,N,6,7,13,12,1
2220,R,0,22,14,12,13
2221,M,5,13,19,12,20
2222,7,2,10,23,12,3
2223,A,1,13,1,12,7
2224,1,1,20,22,12,11
2225,A,5,21,5,12,3
2226,N,3,12,31,12,19
2227,A,1,9,15,12,15
2228,L,2,19,23,12,3
2229,6,6,19,13,12,12
2230,M,1,11,1,12,15
2231,3,5,17,5,12,1
2232,D,0,13,7,12,22
2233,6,3,2,17,12,3
2234,1,3,9,31,12,4
2235,D,0,13,21,12,14
2236,N,5,21,26,12,9
2237,E,0,18,7,12,15
2238,R,3,0,17,12,3
2239,2,1,7,22,12,3
2240,2,0,15,7,12,3
2241,M,5,9,19,12,4
2242,Q,3,5,17,12,1
2243,1,6,20,27,12,3
2244,R,6,10,6,12,13
2245,R,2,6,2,12,3
2246,1,5,13,19,12,30
2247,2,3,22,17,12,5
2248,R,2,13,9,12,8
2249,Q,3,12,24,12,15
2250,F,4,17,25,12,9
2251,E,5,1,5,12,14
2252,R,3,4,3,12,2
2253,L,0,3,21,12,2
2254,4,4,19,11,12,1
2255,D,1,21,8,12,11
2256,N,5,9,26,12,6
2257,D,4,21,11,12,9
2258,1,5,2,12,12,14
2259,D,4,7,25,12,1
2260,1,1,15,15,12,20
2261,7,0,22,7,12,1
2262,Q,4,14,25,12,9
2263,F,6,1,27,12,8
2264,6,6,4,6,12,3
2265,E,1,6,8,12,7
2266,1,5,20,26,12,13
2267,A,4,16,11,12,7
2268,L,1,12,29,12,1
2269,1,1,2,8,12,3
2270,N,2,22,16,12,10
2271,A,3,6,24,12,3
2272,7,3,10,24,12,2
2273,J,6,4,20,12,1
2274,F,1,8,29,12,2
2275,1,3,9,3,12,8
2276,1,2,7,30,12,4
2277,C,3,17,31,12,10
2278,2,3,14,31,12,7
2279,4,5,8,5,12,2
2280,F,4,8,18,12,9
2281,1,3,16,24,12,10
2282,GS,0,12,21,12,1
2283,J,3,23,24,12,1
2284,N,1,2,1,12,1
2285,L,0,20,28,12,1
2286,3,2,13,2,12,3
2287,F,3,8,3,12,9
2288,Q,4,23,18,12,7
2289,L,0,17,7,12,1
2290,1,2,21,30,12,13
2291,F,2,23,23,12,3
2292,5,3,9,3,12,2
2293,5,0,0,21,12,1
2294,C,1,12,8,12,18
2295,C,4,10,25,12,6
2296,5,4,2,25,12,1
2297,E,6,11,6,12,8
2298,E,1,22,8,12,12
2299,A,4,0,11,12,7
2300,N,6,10,6,12,11
2301,M,1,3,1,12,1
2302,A,3,10,24,12,6
2303,5,3,9,31,12,1
2304,D,2,5,23,12,1
2305,C,6,10,27,12,11
2306,R,4,19,11,12,13
2307,D,0,22,14,12,5
2308,F,5,15,12,12,35
2309,Q,3,17,17,12,3
2310,R,2,19,9,12,13
2311,Q,5,20,26,12,11
2312,4,0,13,21,12,7
2313,M,3,7,3,12,7
2314,G,5,10,12,12,1
2315,R,4,15,11,12,11
2316,L,3,10,31,12,1
2317,5,5,12,26,12,3
2318,M,6,18,27,12,17
2319,R,2,22,2,12,14
2320,C,4,22,25,12,10
2321,6,4,15,11,12,8
2322,3,1,17,1,12,1
2323,3,1,21,1,12,5
2324,M,2,0,9,12,7
2325,D,1,18,15,12,9
2326,N,2,2,16,12,5
2327,C,5,22,12,12,15
2328,2,1,13,22,12,1
2329,C,1,17,29,12,15
2330,D,0,8,28,12,2
2331,F,0,14,14,12,15
2332,D,1,22,29,12,9
2333,A,2,16,9,12,3
2334,F,4,15,25,12,12
2335,4,6,14,20,12,2
2336,1,4,1,4,12,12
2337,J,2,18,30,12,1
2338,R,4,3,11,12,4
2339,D,0,6,14,12,1
2340,2,4,0,4,12,4
2341,2,4,11,25,12,3
2342,6,0,14,28,12,14
2343,N,1,14,1,12,9
2344,E,3,20,24,12,17
