,line,day_of_week,hour,day,month,count
3562,J,4,17,16,10,1
3563,1,6,0,18,10,17
3564,R,5,18,24,10,17
3565,1,3,17,1,10,10
3566,2,4,4,16,10,2
3567,F,6,7,18,10,3
3568,E,1,9,27,10,15
3569,C,6,20,11,10,12
3570,1,6,12,4,10,18
3571,E,6,5,4,10,3
3572,M,4,9,23,10,11
3573,Q,5,10,10,10,6
3574,D,6,2,11,10,4
3575,5,1,7,27,10,2
3576,6,4,10,2,10,10
3577,1,5,0,31,10,24
3578,N,0,10,26,10,5
3579,A,3,11,8,10,3
3580,M,3,22,15,10,8
3581,E,2,7,21,10,13
3582,M,4,6,9,10,7
3583,D,2,16,7,10,7
3584,4,4,21,9,10,5
3585,6,1,13,6,10,7
3586,E,4,11,9,10,9
3587,L,2,9,21,10,3
3588,A,5,4,3,10,4
3589,4,1,11,27,10,2
3590,4,2,13,7,10,3
3591,E,4,17,9,10,9
3592,Q,6,23,18,10,6
3593,C,6,21,4,10,14
3594,D,2,6,21,10,3
3595,D,4,18,30,10,6
3596,5,2,19,14,10,3
3597,F,5,12,10,10,16
3598,C,2,12,21,10,16
3599,Z,5,23,10,10,1
3600,6,2,11,21,10,10
3601,6,5,8,24,10,14
3602,E,2,1,7,10,4
3603,3,6,15,25,10,5
3604,2,1,6,27,10,3
3605,A,6,8,11,10,4
3606,C,4,13,2,10,7
3607,D,6,19,11,10,5
3608,1,6,13,25,10,19
3609,A,3,18,15,10,13
3610,3,3,11,15,10,1
3611,Q,6,7,11,10,3
3612,C,5,8,17,10,22
3613,D,2,15,14,10,4
3614,R,6,1,25,10,13
3615,A,2,21,7,10,7
3616,M,5,21,24,10,8
3617,6,3,16,22,10,11
3618,E,1,0,13,10,7
3619,Q,1,14,20,10,3
3620,D,4,10,23,10,3
3621,A,1,19,27,10,8
3622,4,5,13,3,10,5
3623,6,6,17,18,10,8
3624,2,3,23,22,10,5
3625,1,2,5,21,10,5
3626,F,0,22,12,10,7
3627,6,3,5,8,10,4
3628,4,1,12,20,10,2
3629,F,4,0,2,10,6
3630,M,2,10,28,10,8
3631,A,3,9,8,10,5
3632,Q,2,1,7,10,4
3633,L,5,4,31,10,4
3634,R,3,1,8,10,5
3635,D,0,20,5,10,6
3636,5,3,20,15,10,3
3637,L,6,18,25,10,1
3638,5,2,11,14,10,2
3639,C,3,17,15,10,9
3640,4,6,13,11,10,2
3641,5,4,22,23,10,2
3642,Z,3,15,15,10,1
3643,R,5,22,10,10,17
3644,5,3,18,29,10,4
3645,1,3,15,29,10,15
3646,N,1,20,27,10,16
3647,R,2,19,28,10,6
3648,6,0,8,26,10,11
3649,A,6,16,11,10,9
3650,N,5,11,17,10,14
3651,Q,0,3,5,10,2
3652,3,3,2,15,10,1
3653,L,5,18,10,10,4
3654,J,6,10,18,10,2
3655,2,6,0,4,10,4
3656,6,4,19,23,10,8
3657,6,5,3,31,10,2
3658,N,1,12,27,10,8
3659,G,1,9,6,10,1
3660,A,5,15,24,10,8
3661,1,6,1,18,10,11
3662,3,2,7,21,10,7
3663,F,0,17,19,10,8
3664,6,5,16,3,10,10
3665,E,2,19,14,10,18
3666,2,6,16,11,10,2
3667,D,4,12,2,10,8
3668,Q,5,14,3,10,10
3669,C,5,9,17,10,18
3670,R,6,20,18,10,15
3671,1,4,22,2,10,16
3672,M,0,16,12,10,10
3673,D,2,16,14,10,8
3674,Q,4,8,2,10,2
3675,J,1,12,20,10,1
3676,D,2,4,28,10,1
3677,L,6,6,4,10,3
3678,C,4,12,30,10,17
3679,F,1,1,13,10,1
3680,2,3,21,1,10,3
3681,L,3,10,15,10,2
3682,1,2,2,7,10,2
3683,A,1,1,13,10,4
3684,N,2,19,21,10,19
3685,D,0,22,12,10,6
3686,E,1,15,20,10,11
3687,G,1,8,20,10,1
3688,D,6,7,4,10,2
3689,R,5,1,10,10,10
3690,4,5,20,24,10,4
3691,1,6,8,4,10,16
3692,5,1,14,20,10,1
3693,4,2,14,14,10,2
3694,1,0,3,5,10,4
3695,L,4,2,2,10,2
3696,R,6,12,4,10,13
3697,R,0,7,19,10,9
3698,E,6,21,25,10,10
3699,4,5,16,10,10,4
3700,C,0,13,5,10,8
3701,2,5,1,24,10,7
3702,Q,4,3,9,10,3
3703,D,2,3,21,10,3
3704,6,2,18,7,10,5
3705,4,3,2,1,10,1
3706,N,1,11,27,10,8
3707,M,3,18,29,10,8
3708,1,3,15,22,10,15
3709,E,5,0,17,10,24
3710,N,6,17,4,10,20
3711,C,4,12,9,10,12
3712,N,4,12,2,10,6
3713,E,3,13,15,10,10
3714,A,6,1,4,10,6
3715,7,5,4,24,10,2
3716,1,6,6,18,10,8
3717,A,0,20,12,10,4
3718,F,0,8,5,10,4
3719,Q,6,2,11,10,6
3720,Q,6,8,4,10,4
3721,J,6,1,18,10,2
3722,A,3,8,8,10,5
3723,1,5,5,31,10,2
3724,Q,1,0,27,10,4
3725,3,5,9,31,10,4
3726,6,3,1,1,10,3
3727,3,4,23,2,10,5
3728,F,5,1,17,10,14
3729,A,5,13,24,10,12
3730,D,2,12,7,10,5
3731,Z,6,14,4,10,1
3732,Q,3,2,1,10,4
3733,E,6,1,11,10,11
3734,L,4,23,30,10,2
3735,A,2,14,21,10,5
3736,Q,6,0,18,10,7
3737,1,6,14,11,10,19
3738,E,5,15,24,10,13
3739,L,0,3,5,10,1
3740,E,4,20,9,10,10
3741,R,1,1,6,10,1
3742,6,0,23,26,10,6
3743,Z,0,1,19,10,1
3744,N,0,5,12,10,4
3745,G,3,3,29,10,1
3746,E,6,23,25,10,7
3747,R,5,9,17,10,9
3748,1,1,13,27,10,10
3749,C,3,8,15,10,15
3750,Q,4,14,9,10,6
3751,Q,5,0,31,10,3
3752,GS,2,8,7,10,2
3753,L,4,3,30,10,5
3754,5,4,2,23,10,1
3755,M,1,3,27,10,1
3756,1,4,4,30,10,2
3757,J,2,3,28,10,2
3758,3,1,20,27,10,4
3759,6,4,18,16,10,13
3760,2,1,11,27,10,3
3761,2,5,3,3,10,3
3762,Q,1,17,27,10,7
3763,GS,1,6,13,10,1
3764,4,5,19,17,10,4
3765,M,0,17,12,10,11
3766,E,3,14,8,10,11
3767,3,4,4,2,10,1
3768,N,4,19,2,10,15
3769,A,2,8,7,10,8
3770,6,5,22,17,10,13
3771,C,3,16,1,10,16
3772,R,1,14,6,10,4
3773,F,5,14,24,10,8
3774,D,1,20,27,10,6
3775,F,6,16,11,10,15
3776,2,5,0,10,10,6
3777,L,4,22,23,10,2
3778,F,4,19,9,10,12
3779,M,2,1,7,10,3
3780,M,0,19,26,10,12
3781,D,0,3,26,10,2
3782,3,6,2,25,10,4
3783,1,4,18,16,10,17
3784,1,2,1,14,10,8
3785,D,4,20,9,10,10
3786,L,4,3,9,10,2
3787,R,3,4,15,10,1
3788,L,4,8,9,10,2
3789,6,1,5,13,10,6
3790,1,6,0,25,10,17
3791,6,5,15,31,10,17
3792,L,1,2,13,10,3
3793,C,4,7,16,10,10
3794,J,5,17,10,10,3
3795,L,2,16,7,10,2
3796,4,3,11,1,10,3
3797,D,4,2,2,10,1
3798,N,1,22,6,10,13
3799,E,5,2,17,10,11
3800,M,6,15,4,10,27
3801,5,5,2,3,10,2
3802,1,1,7,13,10,17
3803,M,2,16,14,10,13
3804,Q,4,14,23,10,1
3805,R,4,23,30,10,12
3806,M,5,13,10,10,14
3807,7,5,13,3,10,3
3808,Z,6,7,18,10,1
3809,D,1,17,6,10,4
3810,Z,3,16,22,10,1
3811,7,5,18,3,10,1
3812,M,2,6,28,10,8
3813,A,4,10,23,10,5
3814,5,6,17,4,10,5
3815,D,2,20,14,10,5
3816,E,0,16,19,10,8
3817,J,6,0,11,10,1
3818,A,0,15,19,10,5
3819,Q,3,1,8,10,2
3820,7,5,2,31,10,3
3821,M,4,19,23,10,15
3822,3,5,13,17,10,6
3823,G,1,2,6,10,1
3824,3,1,6,6,10,2
3825,M,1,14,6,10,4
3826,1,4,20,2,10,11
3827,6,4,16,16,10,14
3828,2,0,11,12,10,3
3829,J,6,3,25,10,1
3830,L,5,14,10,10,2
3831,Q,6,1,18,10,8
3832,A,5,20,31,10,14
3833,1,3,10,29,10,10
3834,Q,4,3,2,10,3
3835,2,2,7,14,10,6
3836,1,4,10,9,10,10
3837,6,5,1,3,10,3
3838,N,4,4,30,10,1
3839,F,4,10,23,10,6
3840,D,1,7,13,10,3
3841,3,4,1,16,10,1
3842,5,5,8,10,10,1
3843,Q,3,0,22,10,4
3844,F,0,17,12,10,12
3845,D,5,14,17,10,9
3846,5,1,15,6,10,2
3847,E,3,23,29,10,13
3848,L,5,17,17,10,4
3849,3,1,23,27,10,4
3850,F,0,21,12,10,8
3851,6,0,20,19,10,16
3852,A,3,4,22,10,3
3853,A,3,22,1,10,9
3854,A,1,7,20,10,7
3855,A,5,16,17,10,9
3856,7,5,19,31,10,3
3857,G,5,4,3,10,1
3858,D,4,5,2,10,4
3859,6,6,7,11,10,6
3860,D,3,3,15,10,1
3861,E,4,10,16,10,14
3862,M,1,0,27,10,1
3863,J,0,23,26,10,1
3864,F,5,22,17,10,11
3865,1,3,9,22,10,9
3866,D,5,3,24,10,2
3867,3,0,1,12,10,7
3868,7,2,23,21,10,1
3869,3,4,17,9,10,1
3870,1,2,5,14,10,2
3871,F,0,10,26,10,15
3872,2,6,22,11,10,2
3873,3,6,15,18,10,5
3874,E,6,0,25,10,5
3875,A,5,14,24,10,4
3876,5,3,17,8,10,1
3877,M,3,2,8,10,2
3878,1,6,13,18,10,13
3879,Q,3,15,22,10,10
3880,7,0,13,12,10,1
3881,C,0,23,12,10,11
3882,D,0,10,5,10,4
3883,C,3,15,1,10,10
3884,Q,4,5,23,10,2
3885,6,5,21,24,10,7
3886,1,3,1,8,10,7
3887,R,6,8,18,10,4
3888,D,2,20,21,10,9
3889,L,3,4,1,10,1
3890,3,6,12,11,10,3
3891,Q,6,6,18,10,5
3892,F,6,21,4,10,8
3893,3,0,6,5,10,1
3894,6,1,20,6,10,15
3895,6,0,14,12,10,7
3896,D,1,18,20,10,8
3897,E,2,23,14,10,11
3898,5,5,2,31,10,1
3899,Q,5,5,31,10,4
3900,6,3,6,15,10,9
3901,3,6,3,25,10,2
3902,3,4,4,30,10,1
3903,GS,5,0,24,10,2
3904,G,1,11,20,10,1
3905,7,5,8,24,10,5
3906,F,5,14,17,10,12
3907,2,2,20,7,10,3
3908,A,2,12,14,10,8
3909,R,4,2,30,10,4
3910,3,1,6,13,10,2
3911,E,4,8,16,10,13
3912,Q,6,14,11,10,9
3913,E,2,0,21,10,8
