,line,day_of_week,hour,day,month,count
6327,F,5,8,2,1,4
6328,L,1,0,5,1,1
6329,6,1,10,19,1,6
6330,N,6,9,3,1,2
6331,2,4,2,29,1,1
6332,D,6,5,17,1,3
6333,2,3,10,28,1,4
6334,R,1,1,12,1,2
6335,4,2,2,27,1,1
6336,1,3,10,7,1,9
6337,E,4,8,1,1,2
6338,Z,6,13,31,1,1
6339,N,4,3,8,1,7
6340,D,4,17,1,1,16
6341,3,4,4,1,1,3
6342,M,6,19,10,1,6
6343,M,1,13,26,1,8
6344,6,5,21,16,1,18
6345,1,5,8,16,1,18
6346,M,6,4,31,1,5
6347,6,5,10,9,1,15
6348,1,5,19,9,1,12
6349,Q,0,7,25,1,2
6350,7,4,17,8,1,2
6351,N,3,5,14,1,1
6352,R,5,17,2,1,16
6353,Z,5,10,30,1,2
6354,GS,6,19,31,1,1
6355,E,4,15,29,1,15
6356,A,5,2,30,1,11
6357,7,2,8,20,1,2
6358,E,4,19,15,1,14
6359,F,3,15,28,1,13
6360,3,1,10,5,1,4
6361,F,1,13,12,1,5
6362,A,2,20,20,1,10
6363,D,0,21,11,1,6
6364,C,5,6,23,1,2
6365,7,4,8,15,1,2
6366,D,0,10,25,1,11
6367,C,5,12,30,1,26
6368,E,1,16,19,1,7
6369,7,5,6,9,1,2
6370,7,1,13,19,1,2
6371,C,2,10,6,1,14
6372,C,4,6,29,1,6
6373,Z,6,0,3,1,1
6374,Q,4,11,15,1,9
6375,M,4,1,29,1,7
6376,D,2,15,27,1,8
6377,4,5,12,16,1,6
6378,M,4,23,8,1,11
6379,M,3,7,7,1,7
6380,J,5,16,2,1,1
6381,M,3,7,14,1,8
6382,6,0,17,25,1,12
6383,M,5,13,9,1,11
6384,Z,4,19,15,1,1
6385,C,2,20,20,1,17
6386,E,2,5,20,1,4
6387,6,6,20,31,1,9
6388,E,3,23,14,1,7
6389,1,1,1,19,1,6
6390,E,4,4,22,1,1
6391,F,0,11,25,1,7
6392,D,2,18,6,1,5
6393,R,3,0,28,1,6
6394,Q,2,4,13,1,1
6395,E,3,19,21,1,10
6396,E,2,10,6,1,12
6397,2,5,16,2,1,3
6398,1,0,10,25,1,8
6399,Q,1,15,5,1,26
6400,J,3,10,14,1,1
6401,1,5,3,30,1,3
6402,3,3,9,14,1,1
6403,A,5,9,30,1,4
6404,2,4,4,29,1,2
6405,4,5,23,2,1,3
6406,M,1,14,5,1,5
6407,2,1,17,19,1,2
6408,2,5,3,16,1,3
6409,7,3,6,21,1,2
6410,N,3,11,28,1,6
6411,N,0,0,4,1,1
